State,Year,Dayweek,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas,Age Group,Time of day
Vic,2020,Sunday,Single,No,No,No,100,Motorcycle rider,Male,60,Outer Regional Australia,40_to_64,Day
Qld,2020,Sunday,Multiple,No,No,No,80,Driver,Male,54,Major Cities of Australia,40_to_64,Day
Vic,2020,Saturday,Multiple,No,No,No,100,Driver,Male,64,Inner Regional Australia,40_to_64,Day
Vic,2020,Saturday,Multiple,No,No,No,100,Passenger,Female,55,Major Cities of Australia,40_to_64,Day
NSW,2020,Saturday,Multiple,No,No,No,60,Motorcycle rider,Male,87,Major Cities of Australia,75_or_older,Day
Vic,2020,Saturday,Multiple,No,No,No,100,Passenger,Male,77,Inner Regional Australia,75_or_older,Day
Qld,2020,Saturday,Single,No,No,No,110,Passenger,Female,0,Remote Australia,0_to_16,Day
NSW,2020,Sunday,Multiple,No,No,No,80,Driver,Female,80,Major Cities of Australia,75_or_older,Day
NSW,2020,Monday,Multiple,No,No,No,80,Driver,Female,17,Inner Regional Australia,17_to_25,Day
Qld,2020,Sunday,Single,No,No,No,70,Driver,Male,24,Major Cities of Australia,17_to_25,Night
Qld,2020,Sunday,Single,No,No,No,70,Passenger,Female,21,Major Cities of Australia,17_to_25,Night
Qld,2020,Friday,Single,No,No,No,100,Driver,Male,34,Remote Australia,26_to_39,Day
Vic,2020,Thursday,Multiple,No,No,No,60,Motorcycle rider,Male,32,Inner Regional Australia,26_to_39,Day
Vic,2020,Friday,Multiple,No,No,No,80,Passenger,Female,28,Major Cities of Australia,26_to_39,Day
Qld,2020,Tuesday,Multiple,No,Yes,No,60,Pedal cyclist,Female,50,Major Cities of Australia,40_to_64,Day
NSW,2020,Thursday,Single,No,No,No,60,Passenger,Female,23,Major Cities of Australia,17_to_25,Night
NSW,2020,Thursday,Multiple,No,No,No,80,Motorcycle rider,Male,28,Major Cities of Australia,26_to_39,Day
NSW,2020,Friday,Multiple,No,No,No,80,Driver,Female,68,Inner Regional Australia,65_to_74,Day
NSW,2020,Monday,Single,No,No,No,50,Driver,Male,59,Major Cities of Australia,40_to_64,Night
NSW,2020,Wednesday,Single,No,No,No,40,Driver,Female,77,Major Cities of Australia,75_or_older,Day
Qld,2020,Tuesday,Multiple,No,No,No,80,Driver,Female,74,Inner Regional Australia,65_to_74,Day
Vic,2020,Wednesday,Single,No,No,No,60,Driver,Male,91,Major Cities of Australia,75_or_older,Day
SA,2020,Tuesday,Single,No,No,No,50,Motorcycle rider,Male,19,Outer Regional Australia,17_to_25,Day
Vic,2020,Saturday,Single,No,No,No,70,Pedestrian,Male,24,Major Cities of Australia,17_to_25,Night
NSW,2020,Friday,Single,No,No,No,110,Pedestrian,Male,45,Inner Regional Australia,40_to_64,Night
Vic,2020,Friday,Single,No,No,No,40,Pedestrian,Male,51,Major Cities of Australia,40_to_64,Day
NSW,2020,Thursday,Single,No,No,No,70,Pedestrian,Male,62,Major Cities of Australia,40_to_64,Night
Qld,2020,Wednesday,Single,No,No,No,50,Pedestrian,Female,59,Major Cities of Australia,40_to_64,Night
Vic,2020,Tuesday,Single,No,No,No,50,Pedestrian,Male,44,Major Cities of Australia,40_to_64,Night
NSW,2020,Thursday,Multiple,No,No,Yes,80,Driver,Male,36,Inner Regional Australia,26_to_39,Night
Qld,2020,Monday,Single,No,No,No,50,Pedestrian,Male,79,Inner Regional Australia,75_or_older,Day
NSW,2020,Saturday,Multiple,No,No,No,110,Driver,Male,25,Major Cities of Australia,17_to_25,Night
NSW,2020,Friday,Single,No,No,No,100,Passenger,Male,39,Inner Regional Australia,26_to_39,Night
Qld,2020,Sunday,Single,No,No,No,80,Motorcycle rider,Male,29,Very Remote Australia,26_to_39,Night
Vic,2020,Thursday,Single,No,No,No,100,Driver,Male,34,Outer Regional Australia,26_to_39,Night
Qld,2020,Thursday,Single,No,No,No,50,Motorcycle pillion passenger,Female,22,Outer Regional Australia,17_to_25,Night
NSW,2020,Sunday,Single,No,No,No,100,Driver,Female,25,Inner Regional Australia,17_to_25,Day
Vic,2020,Sunday,Multiple,No,No,No,60,Pedal cyclist,Female,60,Major Cities of Australia,40_to_64,Day
SA,2020,Sunday,Single,No,No,No,40,Driver,Male,28,Major Cities of Australia,26_to_39,Day
NSW,2020,Saturday,Single,No,No,No,110,Driver,Female,28,Remote Australia,26_to_39,Day
Qld,2020,Sunday,Single,No,No,No,100,Motorcycle rider,Male,26,Inner Regional Australia,26_to_39,Day
Qld,2020,Sunday,Multiple,No,No,Yes,80,Driver,Female,78,Inner Regional Australia,75_or_older,Day
Vic,2020,Saturday,Multiple,No,No,No,70,Driver,Male,31,Major Cities of Australia,26_to_39,Day
SA,2020,Thursday,Multiple,No,No,No,100,Motorcycle rider,Male,16,Inner Regional Australia,0_to_16,Day
NSW,2020,Thursday,Multiple,No,No,No,80,Passenger,Female,23,Major Cities of Australia,17_to_25,Day
NSW,2020,Thursday,Multiple,No,No,No,80,Driver,Male,23,Major Cities of Australia,17_to_25,Day
Tas,2020,Monday,Single,No,No,Yes,100,Driver,Male,42,Outer Regional Australia,40_to_64,Night
NSW,2020,Tuesday,Multiple,No,No,No,50,Driver,Male,31,Major Cities of Australia,26_to_39,Day
Qld,2020,Wednesday,Single,No,No,No,100,Driver,Male,35,Outer Regional Australia,26_to_39,Day
Qld,2020,Saturday,Single,No,No,No,60,Pedestrian,Male,62,Major Cities of Australia,40_to_64,Night
Qld,2020,Tuesday,Multiple,No,No,No,60,Motorcycle rider,Male,35,Major Cities of Australia,26_to_39,Day
Vic,2020,Monday,Multiple,No,No,No,60,Motorcycle rider,Male,42,Major Cities of Australia,40_to_64,Day
Qld,2020,Wednesday,Multiple,No,Yes,No,70,Pedal cyclist,Male,45,Outer Regional Australia,40_to_64,Day
NSW,2020,Thursday,Single,No,No,No,50,Pedal cyclist,Male,46,Inner Regional Australia,40_to_64,Day
NSW,2020,Thursday,Multiple,No,Yes,No,70,Passenger,Female,60,Outer Regional Australia,40_to_64,Day
Vic,2020,Wednesday,Single,No,No,No,100,Driver,Male,43,Inner Regional Australia,40_to_64,Night
Vic,2020,Tuesday,Single,No,No,No,50,Pedal cyclist,Male,78,Major Cities of Australia,75_or_older,Day
NSW,2020,Friday,Multiple,No,No,No,60,Motorcycle rider,Male,29,Major Cities of Australia,26_to_39,Day
Qld,2020,Monday,Single,No,No,No,100,Motorcycle rider,Female,76,Outer Regional Australia,75_or_older,Day
Vic,2020,Thursday,Single,No,No,No,100,Driver,Male,89,Inner Regional Australia,75_or_older,Day
Vic,2020,Thursday,Single,No,No,No,100,Passenger,Female,82,Inner Regional Australia,75_or_older,Day
NSW,2020,Monday,Single,No,No,Yes,80,Pedestrian,Male,44,Inner Regional Australia,40_to_64,Night
Vic,2020,Monday,Single,No,No,No,50,Pedestrian,Female,58,Major Cities of Australia,40_to_64,Night
Tas,2020,Wednesday,Single,No,No,No,50,Pedestrian,Female,62,Inner Regional Australia,40_to_64,Day
NSW,2020,Monday,Single,No,No,Yes,80,Pedestrian,Male,33,Inner Regional Australia,26_to_39,Night
NSW,2020,Sunday,Multiple,No,No,No,50,Motorcycle pillion passenger,Female,17,Major Cities of Australia,17_to_25,Night
Qld,2020,Thursday,Single,No,No,No,100,Passenger,Male,36,Outer Regional Australia,26_to_39,Night
NSW,2020,Sunday,Single,No,No,No,100,Driver,Male,27,Outer Regional Australia,26_to_39,Night
NSW,2020,Saturday,Multiple,No,No,Yes,60,Passenger,Female,10,Inner Regional Australia,0_to_16,Day
NSW,2020,Saturday,Multiple,No,No,No,50,Motorcycle rider,Male,24,Major Cities of Australia,17_to_25,Day
Qld,2020,Saturday,Multiple,No,No,No,60,Motorcycle rider,Male,26,Inner Regional Australia,26_to_39,Day
NSW,2020,Saturday,Multiple,No,No,Yes,60,Driver,Female,29,Inner Regional Australia,26_to_39,Day
NSW,2020,Sunday,Single,No,No,No,100,Passenger,Female,37,Inner Regional Australia,26_to_39,Day
SA,2020,Saturday,Multiple,No,No,No,100,Driver,Male,28,Inner Regional Australia,26_to_39,Day
SA,2020,Saturday,Multiple,No,No,No,100,Passenger,Male,31,Inner Regional Australia,26_to_39,Day
SA,2020,Friday,Multiple,No,No,No,80,Passenger,Male,17,Major Cities of Australia,17_to_25,Night
Qld,2020,Saturday,Single,No,No,No,50,Passenger,Male,60,Outer Regional Australia,40_to_64,Night
Vic,2020,Sunday,Single,No,No,No,80,Driver,Male,56,Inner Regional Australia,40_to_64,Night
NSW,2020,Saturday,Single,No,No,No,50,Driver,Male,45,Inner Regional Australia,40_to_64,Day
Vic,2020,Wednesday,Single,No,No,No,100,Driver,Male,22,Inner Regional Australia,17_to_25,Day
Qld,2020,Saturday,Single,No,No,No,100,Motorcycle rider,Male,36,Major Cities of Australia,26_to_39,Night
SA,2020,Friday,Multiple,No,No,No,80,Motorcycle rider,Male,19,Major Cities of Australia,17_to_25,Night
Qld,2020,Thursday,Multiple,No,No,No,60,Driver,Female,64,Inner Regional Australia,40_to_64,Day
NSW,2020,Friday,Multiple,Yes,No,No,50,Driver,Male,58,Inner Regional Australia,40_to_64,Day
SA,2020,Tuesday,Single,No,No,No,80,Passenger,Male,24,Outer Regional Australia,17_to_25,Night
Qld,2020,Monday,Multiple,No,No,Yes,80,Motorcycle rider,Male,74,Inner Regional Australia,65_to_74,Day
Vic,2020,Wednesday,Single,No,No,No,100,Driver,Male,36,Major Cities of Australia,26_to_39,Night
NSW,2020,Wednesday,Multiple,No,Yes,No,100,Driver,Male,31,Inner Regional Australia,26_to_39,Night
Qld,2020,Thursday,Single,No,No,No,100,Passenger,Male,35,Outer Regional Australia,26_to_39,Night
Qld,2020,Friday,Multiple,No,No,No,100,Driver,Female,21,Outer Regional Australia,17_to_25,Day
Qld,2020,Monday,Multiple,No,No,Yes,100,Driver,Female,44,Major Cities of Australia,40_to_64,Night
Qld,2020,Thursday,Single,No,No,No,100,Passenger,Male,40,Outer Regional Australia,40_to_64,Night
Qld,2020,Wednesday,Single,No,No,No,80,Passenger,Male,42,Very Remote Australia,40_to_64,Night
Qld,2020,Thursday,Single,No,No,Yes,100,Driver,Male,58,Outer Regional Australia,40_to_64,Night
NSW,2020,Saturday,Single,No,No,No,50,Pedestrian,Male,87,Major Cities of Australia,75_or_older,Day
Vic,2020,Saturday,Single,No,No,No,100,Pedestrian,Male,40,Inner Regional Australia,40_to_64,Night
Vic,2020,Tuesday,Single,No,No,No,80,Pedestrian,Male,48,Major Cities of Australia,40_to_64,Night
Qld,2020,Saturday,Multiple,No,Yes,No,50,Pedestrian,Male,30,Major Cities of Australia,26_to_39,Day
NSW,2020,Sunday,Multiple,No,No,Yes,80,Driver,Male,35,Major Cities of Australia,26_to_39,Night
NSW,2020,Thursday,Multiple,No,No,No,80,Motorcycle rider,Male,28,Major Cities of Australia,26_to_39,Night
Vic,2020,Wednesday,Multiple,No,Yes,No,50,Pedal cyclist,Male,45,Major Cities of Australia,40_to_64,Night
SA,2020,Friday,Single,No,No,No,80,Driver,Male,25,Major Cities of Australia,17_to_25,Night
Qld,2020,Sunday,Single,No,No,No,80,Driver,Male,40,Major Cities of Australia,40_to_64,Night
Qld,2020,Sunday,Multiple,No,No,Yes,100,Driver,Male,23,Outer Regional Australia,17_to_25,Day
Vic,2020,Sunday,Multiple,No,No,No,80,Driver,Male,27,Major Cities of Australia,26_to_39,Day
Qld,2020,Saturday,Single,No,No,No,50,Motorcycle rider,Male,49,Major Cities of Australia,40_to_64,Night
SA,2020,Saturday,Multiple,No,No,No,60,Driver,Female,53,Major Cities of Australia,40_to_64,Day
SA,2020,Saturday,Multiple,No,No,No,60,Passenger,Female,55,Major Cities of Australia,40_to_64,Day
NSW,2020,Saturday,Single,No,No,No,100,Driver,Male,35,Inner Regional Australia,26_to_39,Day
NSW,2020,Thursday,Multiple,No,Yes,No,60,Pedal cyclist,Male,30,Major Cities of Australia,26_to_39,Day
Vic,2020,Monday,Single,No,No,No,100,Driver,Male,42,Inner Regional Australia,40_to_64,Night
SA,2020,Friday,Single,No,No,No,100,Passenger,Female,65,Inner Regional Australia,65_to_74,Night
Qld,2020,Saturday,Single,No,No,No,60,Motorcycle rider,Male,58,Major Cities of Australia,40_to_64,Night
NSW,2020,Monday,Multiple,No,No,No,80,Motorcycle rider,Male,61,Inner Regional Australia,40_to_64,Day
NSW,2020,Wednesday,Multiple,No,Yes,No,80,Driver,Female,48,Inner Regional Australia,40_to_64,Day
Qld,2020,Wednesday,Single,No,No,No,100,Passenger,Male,42,Inner Regional Australia,40_to_64,Day
NSW,2020,Wednesday,Multiple,No,No,Yes,60,Motorcycle rider,Male,53,Inner Regional Australia,40_to_64,Day
NSW,2020,Thursday,Single,No,No,No,100,Driver,Male,43,Inner Regional Australia,40_to_64,Day
Qld,2020,Thursday,Multiple,No,No,No,80,Pedal cyclist,Male,69,Inner Regional Australia,65_to_74,Day
SA,2020,Thursday,Multiple,No,No,No,80,Driver,Male,80,Inner Regional Australia,75_or_older,Day
Vic,2020,Friday,Multiple,No,No,No,100,Driver,Male,38,Major Cities of Australia,26_to_39,Day
Vic,2020,Tuesday,Multiple,No,Yes,No,80,Driver,Male,57,Major Cities of Australia,40_to_64,Night
Qld,2020,Friday,Single,No,No,No,60,Driver,Male,84,Major Cities of Australia,75_or_older,Day
Vic,2020,Thursday,Multiple,No,No,No,100,Driver,Female,85,Major Cities of Australia,75_or_older,Day
NSW,2020,Thursday,Multiple,No,No,Yes,90,Motorcycle rider,Male,55,Major Cities of Australia,40_to_64,Day
SA,2020,Wednesday,Single,No,No,No,100,Pedestrian,Female,42,Very Remote Australia,40_to_64,Night
NSW,2020,Tuesday,Single,No,No,No,50,Pedestrian,Female,63,Major Cities of Australia,40_to_64,Day
Qld,2020,Friday,Single,No,No,No,50,Motorcycle rider,Male,26,Outer Regional Australia,26_to_39,Night
NSW,2020,Wednesday,Single,No,No,No,60,Pedestrian,Male,38,Major Cities of Australia,26_to_39,Night
Qld,2020,Wednesday,Single,No,No,No,50,Pedestrian,Male,58,Remote Australia,40_to_64,Night
NSW,2020,Wednesday,Single,No,No,No,60,Pedestrian,Male,79,Major Cities of Australia,75_or_older,Day
Qld,2020,Monday,Single,No,No,No,60,Pedestrian,Male,90,Inner Regional Australia,75_or_older,Day
NSW,2020,Friday,Multiple,No,No,No,50,Pedestrian,Female,34,Outer Regional Australia,26_to_39,Night
NT,2020,Sunday,Single,No,No,No,100,Driver,Female,33,Outer Regional Australia,26_to_39,Night
Vic,2020,Wednesday,Multiple,No,No,Yes,100,Driver,Male,29,Inner Regional Australia,26_to_39,Night
Vic,2020,Friday,Multiple,No,No,No,110,Driver,Female,35,Inner Regional Australia,26_to_39,Night
Vic,2020,Friday,Multiple,No,No,No,110,Driver,Male,28,Inner Regional Australia,26_to_39,Night
NSW,2020,Sunday,Single,No,No,No,80,Passenger,Male,22,Major Cities of Australia,17_to_25,Day
NSW,2020,Sunday,Single,No,No,No,80,Driver,Male,19,Major Cities of Australia,17_to_25,Day
NSW,2020,Saturday,Single,No,No,No,60,Passenger,Male,19,Inner Regional Australia,17_to_25,Day
ACT,2020,Saturday,Multiple,No,No,No,80,Driver,Male,18,Major Cities of Australia,17_to_25,Day
NSW,2020,Saturday,Multiple,No,No,Yes,70,Driver,Male,35,Major Cities of Australia,26_to_39,Day
ACT,2020,Saturday,Multiple,No,No,No,80,Passenger,Male,28,Major Cities of Australia,26_to_39,Day
NSW,2020,Sunday,Multiple,No,No,No,60,Driver,Female,58,Major Cities of Australia,40_to_64,Day
SA,2020,Sunday,Multiple,No,No,Yes,60,Driver,Male,62,Outer Regional Australia,40_to_64,Day
Qld,2020,Sunday,Single,No,No,No,100,Driver,Male,72,Inner Regional Australia,65_to_74,Day
NSW,2020,Saturday,Single,No,No,No,100,Driver,Male,60,Outer Regional Australia,40_to_64,Day
Qld,2020,Saturday,Single,No,No,No,70,Driver,Male,43,Major Cities of Australia,40_to_64,Day
Vic,2020,Thursday,Single,No,No,No,80,Driver,Male,27,Major Cities of Australia,26_to_39,Day
NSW,2020,Wednesday,Multiple,No,No,No,100,Motorcycle rider,Female,43,Inner Regional Australia,40_to_64,Day
NSW,2020,Wednesday,Multiple,No,No,No,100,Pedal cyclist,Male,47,Inner Regional Australia,40_to_64,Day
NSW,2020,Tuesday,Single,No,No,No,100,Driver,Male,72,Outer Regional Australia,65_to_74,Day
NSW,2020,Wednesday,Multiple,No,No,No,50,Pedal cyclist,Female,72,Inner Regional Australia,65_to_74,Day
Qld,2020,Monday,Multiple,No,No,No,100,Driver,Male,30,Outer Regional Australia,26_to_39,Night
Qld,2020,Tuesday,Single,No,No,No,70,Driver,Male,33,Major Cities of Australia,26_to_39,Night
Vic,2020,Wednesday,Single,No,No,No,100,Driver,Female,35,Outer Regional Australia,26_to_39,Night
Qld,2020,Friday,Multiple,No,No,No,60,Pedal cyclist,Male,56,Major Cities of Australia,40_to_64,Night
Qld,2020,Wednesday,Multiple,No,No,No,50,Motorcycle rider,Male,48,Major Cities of Australia,40_to_64,Night
Qld,2020,Tuesday,Multiple,No,No,No,60,Motorcycle rider,Male,50,Major Cities of Australia,40_to_64,Day
Vic,2020,Wednesday,Multiple,No,No,No,60,Passenger,Female,81,Major Cities of Australia,75_or_older,Day
Qld,2020,Friday,Multiple,No,No,Yes,100,Passenger,Male,40,Outer Regional Australia,40_to_64,Night
Qld,2020,Friday,Multiple,No,No,Yes,100,Driver,Female,49,Outer Regional Australia,40_to_64,Night
Vic,2020,Friday,Single,No,No,No,30,Pedestrian,Male,75,Inner Regional Australia,75_or_older,Day
NSW,2020,Saturday,Multiple,No,No,No,50,Pedestrian,Male,62,Major Cities of Australia,40_to_64,Day
NSW,2020,Sunday,Multiple,No,No,No,50,Passenger,Female,20,Outer Regional Australia,17_to_25,Night
NSW,2020,Sunday,Single,No,No,No,100,Driver,Male,18,Outer Regional Australia,17_to_25,Night
SA,2020,Sunday,Multiple,No,No,No,110,Passenger,Female,24,Inner Regional Australia,17_to_25,Day
SA,2020,Sunday,Single,No,No,No,110,Passenger,Male,49,Inner Regional Australia,40_to_64,Day
SA,2020,Saturday,Multiple,No,No,No,100,Passenger,Male,1,Inner Regional Australia,0_to_16,Day
SA,2020,Saturday,Single,No,No,No,110,Driver,Male,92,Very Remote Australia,75_or_older,Day
SA,2020,Saturday,Single,No,No,No,100,Driver,Male,20,Inner Regional Australia,17_to_25,Day
Vic,2020,Saturday,Multiple,No,No,No,60,Driver,Male,79,Inner Regional Australia,75_or_older,Day
NSW,2020,Sunday,Multiple,No,No,No,90,Driver,Male,75,Major Cities of Australia,75_or_older,Day
Qld,2020,Sunday,Single,No,No,No,100,Driver,Male,81,Outer Regional Australia,75_or_older,Day
Qld,2020,Sunday,Single,No,No,No,100,Passenger,Female,76,Outer Regional Australia,75_or_older,Day
NSW,2020,Sunday,Single,No,No,No,80,Motorcycle rider,Male,75,Inner Regional Australia,75_or_older,Day
Vic,2020,Wednesday,Multiple,No,No,No,80,Pedal cyclist,Male,14,Major Cities of Australia,0_to_16,Day
NSW,2020,Friday,Multiple,No,No,Yes,70,Driver,Female,46,Outer Regional Australia,40_to_64,Night
Qld,2020,Sunday,Single,No,No,No,50,Driver,Male,31,Major Cities of Australia,26_to_39,Night
NSW,2020,Sunday,Single,No,No,No,100,Driver,Male,19,Inner Regional Australia,17_to_25,Night
Tas,2020,Wednesday,Single,No,No,No,100,Motorcycle pillion passenger,Female,19,Inner Regional Australia,17_to_25,Day
SA,2020,Saturday,Single,No,No,No,100,Driver,Male,39,Very Remote Australia,26_to_39,Night
Vic,2020,Monday,Multiple,No,No,No,60,Motorcycle rider,Male,32,Major Cities of Australia,26_to_39,Day
Vic,2020,Monday,Single,No,No,No,60,Motorcycle rider,Female,44,Major Cities of Australia,40_to_64,Day
NSW,2020,Wednesday,Single,No,No,No,100,Motorcycle rider,Male,42,Inner Regional Australia,40_to_64,Day
NSW,2020,Wednesday,Multiple,No,No,No,100,Passenger,Male,0,Outer Regional Australia,0_to_16,Day
NSW,2020,Wednesday,Multiple,No,No,No,100,Driver,Female,26,Outer Regional Australia,26_to_39,Day
Vic,2020,Monday,Multiple,No,No,No,100,Motorcycle rider,Male,46,Inner Regional Australia,40_to_64,Day
Vic,2020,Monday,Single,No,No,No,50,Motorcycle rider,Male,60,Outer Regional Australia,40_to_64,Day
Qld,2020,Thursday,Multiple,No,No,No,60,Motorcycle rider,Male,54,Inner Regional Australia,40_to_64,Day
NSW,2020,Thursday,Single,No,No,No,100,Passenger,Male,49,Outer Regional Australia,40_to_64,Day
Vic,2020,Tuesday,Multiple,No,No,No,60,Motorcycle rider,Male,21,Major Cities of Australia,17_to_25,Night
NT,2020,Wednesday,Single,No,No,No,130,Passenger,Male,19,Very Remote Australia,17_to_25,Night
Vic,2020,Tuesday,Multiple,No,No,No,100,Driver,Female,66,Inner Regional Australia,65_to_74,Day
SA,2020,Wednesday,Single,No,No,No,100,Driver,Male,68,Inner Regional Australia,65_to_74,Day
NSW,2020,Monday,Single,No,No,No,60,Motorcycle rider,Male,36,Inner Regional Australia,26_to_39,Night
Qld,2020,Monday,Single,No,No,No,80,Driver,Male,24,Outer Regional Australia,17_to_25,Night
Qld,2020,Friday,Multiple,No,No,No,100,Passenger,Male,70,Inner Regional Australia,65_to_74,Day
Qld,2020,Friday,Multiple,No,No,No,100,Driver,Female,75,Inner Regional Australia,75_or_older,Day
Qld,2020,Thursday,Multiple,No,No,No,60,Driver,Male,44,Inner Regional Australia,40_to_64,Night
Qld,2020,Tuesday,Single,No,No,No,80,Driver,Female,57,Inner Regional Australia,40_to_64,Day
SA,2020,Thursday,Single,No,No,No,110,Driver,Male,55,Outer Regional Australia,40_to_64,Day
Qld,2020,Tuesday,Multiple,No,No,No,80,Driver,Male,87,Outer Regional Australia,75_or_older,Day
Vic,2020,Wednesday,Multiple,No,No,Yes,60,Pedal cyclist,Female,22,Major Cities of Australia,17_to_25,Day
Qld,2020,Sunday,Single,No,No,No,50,Pedestrian,Female,15,Inner Regional Australia,0_to_16,Night
Qld,2020,Saturday,Single,No,No,No,60,Pedestrian,Female,65,Major Cities of Australia,65_to_74,Day
Vic,2020,Thursday,Single,No,No,No,40,Pedestrian,Female,1,Major Cities of Australia,0_to_16,Day
NSW,2020,Tuesday,Single,No,Yes,No,50,Pedestrian,Female,61,Major Cities of Australia,40_to_64,Day
Vic,2020,Tuesday,Single,No,No,No,50,Pedestrian,Male,48,Inner Regional Australia,40_to_64,Night
NSW,2020,Tuesday,Single,No,No,No,70,Pedestrian,Male,84,Major Cities of Australia,75_or_older,Day
Qld,2020,Wednesday,Single,No,No,No,50,Pedestrian,Female,94,Major Cities of Australia,75_or_older,Day
