State,Year,Dayweek,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas,Age Group,Time of day
Qld,2020,Friday,Single,No,No,No,50,Driver,Female,74,Major Cities of Australia,65_to_74,Day
Qld,2020,Tuesday,Multiple,No,Yes,No,80,Driver,Female,69,Major Cities of Australia,65_to_74,Day
NSW,2020,Wednesday,Single,No,No,Yes,100,Driver,Male,72,Outer Regional Australia,65_to_74,Day
ACT,2020,Monday,Multiple,No,No,No,70,Passenger,Female,71,Major Cities of Australia,65_to_74,Day
Qld,2020,Thursday,Multiple,No,No,No,100,Driver,Female,58,Inner Regional Australia,40_to_64,Night
SA,2020,Friday,Multiple,No,No,No,10,Driver,Female,85,Major Cities of Australia,75_or_older,Day
NSW,2020,Friday,Single,No,No,No,100,Driver,Male,45,Remote Australia,40_to_64,Night
NSW,2020,Thursday,Single,No,No,Yes,100,Pedestrian,Male,36,Major Cities of Australia,26_to_39,Night
NSW,2020,Monday,Single,No,No,No,40,Pedestrian,Male,79,Major Cities of Australia,75_or_older,Day
Vic,2020,Tuesday,Multiple,No,No,No,100,Pedestrian,Male,31,Inner Regional Australia,26_to_39,Night
NT,2020,Saturday,Single,No,No,No,110,Driver,Male,24,Very Remote Australia,17_to_25,Night
Qld,2020,Monday,Single,No,No,No,100,Driver,Female,23,Major Cities of Australia,17_to_25,Night
Qld,2020,Sunday,Single,No,No,No,70,Passenger,Male,13,Outer Regional Australia,0_to_16,Night
Qld,2020,Sunday,Single,No,No,No,70,Passenger,Female,14,Outer Regional Australia,0_to_16,Night
Qld,2020,Sunday,Single,No,No,No,70,Passenger,Female,17,Outer Regional Australia,17_to_25,Night
NSW,2020,Sunday,Single,No,No,No,80,Driver,Male,28,Outer Regional Australia,26_to_39,Night
Qld,2020,Sunday,Multiple,No,No,No,70,Motorcycle rider,Male,25,Major Cities of Australia,17_to_25,Day
Vic,2020,Sunday,Single,No,No,No,100,Motorcycle rider,Male,30,Inner Regional Australia,26_to_39,Day
SA,2020,Sunday,Multiple,No,No,No,60,Motorcycle rider,Male,31,Major Cities of Australia,26_to_39,Day
Qld,2020,Saturday,Single,No,No,No,60,Driver,Male,26,Remote Australia,26_to_39,Night
NSW,2020,Saturday,Multiple,No,No,No,80,Pedal cyclist,Male,45,Major Cities of Australia,40_to_64,Day
NSW,2020,Saturday,Single,No,No,No,100,Motorcycle rider,Male,56,Outer Regional Australia,40_to_64,Day
Vic,2020,Saturday,Multiple,No,No,No,100,Passenger,Female,81,Major Cities of Australia,75_or_older,Day
Vic,2020,Saturday,Multiple,No,No,No,100,Driver,Male,81,Major Cities of Australia,75_or_older,Day
Vic,2020,Wednesday,Multiple,No,No,No,60,Motorcycle rider,Male,23,Major Cities of Australia,17_to_25,Day
Qld,2020,Friday,Single,No,No,No,100,Driver,Male,27,Remote Australia,26_to_39,Day
Vic,2020,Tuesday,Multiple,No,No,Yes,100,Driver,Female,30,Major Cities of Australia,26_to_39,Day
Qld,2020,Friday,Multiple,No,No,No,80,Motorcycle rider,Male,37,Inner Regional Australia,26_to_39,Day
Qld,2020,Sunday,Single,No,No,No,70,Passenger,Female,14,Outer Regional Australia,0_to_16,Night
NSW,2020,Wednesday,Multiple,No,No,Yes,100,Motorcycle rider,Male,13,Outer Regional Australia,0_to_16,Day
Vic,2020,Monday,Single,No,Yes,No,80,Driver,Male,52,Outer Regional Australia,40_to_64,Day
Qld,2020,Friday,Multiple,No,No,Yes,100,Driver,Male,21,Inner Regional Australia,17_to_25,Night
Qld,2020,Friday,Multiple,No,No,Yes,100,Passenger,Female,17,Inner Regional Australia,17_to_25,Night
NSW,2020,Tuesday,Single,No,No,Yes,100,Driver,Male,70,Outer Regional Australia,65_to_74,Day
NSW,2020,Tuesday,Single,No,No,No,100,Driver,Male,46,Inner Regional Australia,40_to_64,Night
NSW,2020,Monday,Multiple,No,No,No,50,Driver,Male,101,Major Cities of Australia,75_or_older,Day
NSW,2020,Wednesday,Single,No,No,No,100,Driver,Male,80,Outer Regional Australia,75_or_older,Day
Qld,2020,Monday,Single,No,No,No,60,Pedestrian,Male,93,Major Cities of Australia,75_or_older,Night
Qld,2020,Friday,Single,No,No,No,50,Pedestrian,Male,92,Inner Regional Australia,75_or_older,Day
NSW,2020,Tuesday,Single,No,No,No,60,Pedestrian,Male,72,Major Cities of Australia,65_to_74,Day
NSW,2020,Wednesday,Single,No,No,No,60,Pedestrian,Male,65,Major Cities of Australia,65_to_74,Day
Vic,2020,Tuesday,Single,No,No,No,60,Driver,Male,77,Major Cities of Australia,75_or_older,Night
Qld,2020,Tuesday,Single,No,No,No,70,Pedestrian,Male,73,Major Cities of Australia,65_to_74,Night
Qld,2020,Friday,Single,No,No,No,70,Passenger,Male,19,Major Cities of Australia,17_to_25,Night
NT,2020,Monday,Multiple,No,No,No,100,Pedal cyclist,Male,34,Outer Regional Australia,26_to_39,Night
NT,2020,Sunday,Single,No,No,No,100,Passenger,Male,8,Remote Australia,0_to_16,Day
Qld,2020,Monday,Single,No,No,No,80,Motorcycle pillion passenger,Female,29,Major Cities of Australia,26_to_39,Night
Qld,2020,Sunday,Multiple,No,No,No,80,Driver,Male,37,Major Cities of Australia,26_to_39,Day
NSW,2020,Sunday,Single,No,No,No,50,Driver,Male,34,Major Cities of Australia,26_to_39,Day
